FISCAL YEAR,AGENCY NAME AND NUMBER,COUNTY,EXPENDITURE CATEGORY,AMOUNT,NUMBER,AGENCY NAME
2023,529-HEALTH AND HUMAN SERVICES COMMISSION,ANDREWS,SALARIES AND WAGES,155368.13,529,HEALTH AND HUMAN SERVICES COMMISSION
2023,530-DEPT OF FAMILY & PROTECTIVE SERVICES,ANDREWS,SALARIES AND WAGES,555302.88,530,DEPT OF FAMILY & PROTECTIVE SERVICES
2023,537-DEPARTMENT OF STATE HEALTH SERVICES,ANDREWS,SALARIES AND WAGES,35858.77,537,DEPARTMENT OF STATE HEALTH SERVICES
2023,555-TEXAS A&M AGRILIFE EXTENSION SERVICE,ANDREWS,SALARIES AND WAGES,13795.49,555,TEXAS A&M AGRILIFE EXTENSION SERVICE
2023,582-TX COMMISSION ON ENVIRONMENTAL QUALITY,ANDREWS,SALARIES AND WAGES,57175.72,582,TX COMMISSION ON ENVIRONMENTAL QUALITY
2023,601-TEXAS DEPARTMENT OF TRANSPORTATION,ANDREWS,SALARIES AND WAGES,680918.73,601,TEXAS DEPARTMENT OF TRANSPORTATION
2023,696-TEXAS DEPARTMENT OF CRIMINAL JUSTICE,ANDREWS,SALARIES AND WAGES,160805.93,696,TEXAS DEPARTMENT OF CRIMINAL JUSTICE
2023,733-TEXAS TECH UNIVERSITY,ANDREWS,SALARIES AND WAGES,8000.01,733,TEXAS TECH UNIVERSITY
2023,739-TX TECH UNIVERSITY HEALTH SCIENCES CENTR,ANDREWS,SALARIES AND WAGES,8333.32,739,TX TECH UNIVERSITY HEALTH SCIENCES CENTR
2023,742-UNIVERSITY OF TEXAS OF THE PERMIAN BASIN,ANDREWS,SALARIES AND WAGES,146340.02,742,UNIVERSITY OF TEXAS OF THE PERMIAN BASIN
2023,241-COMPTROLLER - JUDICIARY SECTION,ANDREWS,EMPLOYEE BENEFITS,75104.66,241,COMPTROLLER - JUDICIARY SECTION
2023,304-COMPTROLLER OF PUBLIC ACCOUNTS,ANDREWS,EMPLOYEE BENEFITS,21461.72,304,COMPTROLLER OF PUBLIC ACCOUNTS
2023,320-TEXAS WORKFORCE COMMISSION,ANDREWS,EMPLOYEE BENEFITS,22099.9,320,TEXAS WORKFORCE COMMISSION
2023,401-TEXAS MILITARY DEPARTMENT,ANDREWS,EMPLOYEE BENEFITS,7556.56,401,TEXAS MILITARY DEPARTMENT
2023,405-TEXAS DEPARTMENT OF PUBLIC SAFETY,ANDREWS,EMPLOYEE BENEFITS,160018.18,405,TEXAS DEPARTMENT OF PUBLIC SAFETY
2023,479-STATE OFFICE OF RISK MANAGEMENT,ANDREWS,EMPLOYEE BENEFITS,19635.48,479,STATE OFFICE OF RISK MANAGEMENT
2023,529-HEALTH AND HUMAN SERVICES COMMISSION,ANDREWS,EMPLOYEE BENEFITS,46053.58,529,HEALTH AND HUMAN SERVICES COMMISSION
2023,530-DEPT OF FAMILY & PROTECTIVE SERVICES,ANDREWS,EMPLOYEE BENEFITS,161914.49,530,DEPT OF FAMILY & PROTECTIVE SERVICES
2023,537-DEPARTMENT OF STATE HEALTH SERVICES,ANDREWS,EMPLOYEE BENEFITS,10715.25,537,DEPARTMENT OF STATE HEALTH SERVICES
2023,555-TEXAS A&M AGRILIFE EXTENSION SERVICE,ANDREWS,EMPLOYEE BENEFITS,4541.28,555,TEXAS A&M AGRILIFE EXTENSION SERVICE
2023,582-TX COMMISSION ON ENVIRONMENTAL QUALITY,ANDREWS,EMPLOYEE BENEFITS,16486.45,582,TX COMMISSION ON ENVIRONMENTAL QUALITY
2023,601-TEXAS DEPARTMENT OF TRANSPORTATION,ANDREWS,EMPLOYEE BENEFITS,206100.69,601,TEXAS DEPARTMENT OF TRANSPORTATION
2023,696-TEXAS DEPARTMENT OF CRIMINAL JUSTICE,ANDREWS,EMPLOYEE BENEFITS,46956.14,696,TEXAS DEPARTMENT OF CRIMINAL JUSTICE
2023,733-TEXAS TECH UNIVERSITY,ANDREWS,EMPLOYEE BENEFITS,775.99,733,TEXAS TECH UNIVERSITY
2023,739-TX TECH UNIVERSITY HEALTH SCIENCES CENTR,ANDREWS,EMPLOYEE BENEFITS,958.95,739,TX TECH UNIVERSITY HEALTH SCIENCES CENTR
2023,742-UNIVERSITY OF TEXAS OF THE PERMIAN BASIN,ANDREWS,EMPLOYEE BENEFITS,33193.86,742,UNIVERSITY OF TEXAS OF THE PERMIAN BASIN
2023,102-HOUSE OF REPRESENTATIVES,ANDREWS,SUPPLIES AND MATERIALS,77.8,102,HOUSE OF REPRESENTATIVES
2023,530-DEPT OF FAMILY & PROTECTIVE SERVICES,ANDREWS,SUPPLIES AND MATERIALS,2239.82,530,DEPT OF FAMILY & PROTECTIVE SERVICES
2023,601-TEXAS DEPARTMENT OF TRANSPORTATION,ANDREWS,SUPPLIES AND MATERIALS,58.85,601,TEXAS DEPARTMENT OF TRANSPORTATION
2023,802-PARKS & WILDLIFE DEPARTMENT,ANDREWS,SUPPLIES AND MATERIALS,463.21,802,PARKS & WILDLIFE DEPARTMENT
2023,302-OFFICE OF THE ATTORNEY GENERAL,ANDREWS,OTHER EXPENDITURES,2330.5,302,OFFICE OF THE ATTORNEY GENERAL
2023,304-COMPTROLLER OF PUBLIC ACCOUNTS,ANDREWS,OTHER EXPENDITURES,928,304,COMPTROLLER OF PUBLIC ACCOUNTS
2023,320-TEXAS WORKFORCE COMMISSION,ANDREWS,OTHER EXPENDITURES,176,320,TEXAS WORKFORCE COMMISSION
2023,455-RAILROAD COMMISSION OF TEXAS,ANDREWS,OTHER EXPENDITURES,2461.27,455,RAILROAD COMMISSION OF TEXAS
2023,601-TEXAS DEPARTMENT OF TRANSPORTATION,ANDREWS,OTHER EXPENDITURES,12038.22,601,TEXAS DEPARTMENT OF TRANSPORTATION
2023,720-UNIVERSITY OF TEXAS SYSTEM,ANDREWS,OTHER EXPENDITURES,6172.22,720,UNIVERSITY OF TEXAS SYSTEM
2023,781-TX HIGHER EDUCATION COORDINATING BOARD,ANDREWS,OTHER EXPENDITURES,16,781,TX HIGHER EDUCATION COORDINATING BOARD
2023,902-COMPTROLLER - STATE FISCAL,ANDREWS,OTHER EXPENDITURES,58504.98,902,COMPTROLLER - STATE FISCAL
2023,300-GOVERNOR - FISCAL,ANDREWS,PUBLIC ASSISTANCE PAYMENTS,20000,300,GOVERNOR - FISCAL
2023,302-OFFICE OF THE ATTORNEY GENERAL,ANDREWS,PUBLIC ASSISTANCE PAYMENTS,143759.5,302,OFFICE OF THE ATTORNEY GENERAL
2023,307-SECRETARY OF STATE,ANDREWS,PUBLIC ASSISTANCE PAYMENTS,-3699.46,307,SECRETARY OF STATE
2023,320-TEXAS WORKFORCE COMMISSION,ANDREWS,PUBLIC ASSISTANCE PAYMENTS,808388.5,320,TEXAS WORKFORCE COMMISSION
2023,323-TEACHER RETIREMENT SYSTEM OF TEXAS,ANDREWS,PUBLIC ASSISTANCE PAYMENTS,205441.85,323,TEACHER RETIREMENT SYSTEM OF TEXAS
2023,327-EMPLOYEES RETIREMENT SYSTEM OF TEXAS,ANDREWS,PUBLIC ASSISTANCE PAYMENTS,58341.3,327,EMPLOYEES RETIREMENT SYSTEM OF TEXAS
2023,529-HEALTH AND HUMAN SERVICES COMMISSION,ANDREWS,PUBLIC ASSISTANCE PAYMENTS,6168599.21,529,HEALTH AND HUMAN SERVICES COMMISSION
2023,530-DEPT OF FAMILY & PROTECTIVE SERVICES,ANDREWS,PUBLIC ASSISTANCE PAYMENTS,289151.5,530,DEPT OF FAMILY & PROTECTIVE SERVICES
2023,537-DEPARTMENT OF STATE HEALTH SERVICES,ANDREWS,PUBLIC ASSISTANCE PAYMENTS,20877.64,537,DEPARTMENT OF STATE HEALTH SERVICES
2023,551-DEPARTMENT OF AGRICULTURE,ANDREWS,PUBLIC ASSISTANCE PAYMENTS,10990,551,DEPARTMENT OF AGRICULTURE
2023,592-STATE SOIL AND WATER CONSERVATION BOARD,ANDREWS,PUBLIC ASSISTANCE PAYMENTS,13034.1,592,STATE SOIL AND WATER CONSERVATION BOARD
2023,212-OFFICE OF COURT ADMINISTRATION,ANDREWS,INTERGOVERNMENTAL PAYMENTS,33734.25,212,OFFICE OF COURT ADMINISTRATION
2023,241-COMPTROLLER - JUDICIARY SECTION,ANDREWS,INTERGOVERNMENTAL PAYMENTS,57832.01,241,COMPTROLLER - JUDICIARY SECTION
2023,302-OFFICE OF THE ATTORNEY GENERAL,ANDREWS,INTERGOVERNMENTAL PAYMENTS,10147.99,302,OFFICE OF THE ATTORNEY GENERAL
2023,306-TX STATE LIBRARY AND ARCHIVES COMMISSION,ANDREWS,INTERGOVERNMENTAL PAYMENTS,768.69,306,TX STATE LIBRARY AND ARCHIVES COMMISSION
2023,307-SECRETARY OF STATE,ANDREWS,INTERGOVERNMENTAL PAYMENTS,-1910.31,307,SECRETARY OF STATE
2023,529-HEALTH AND HUMAN SERVICES COMMISSION,ANDREWS,INTERGOVERNMENTAL PAYMENTS,152917.06,529,HEALTH AND HUMAN SERVICES COMMISSION
2023,537-DEPARTMENT OF STATE HEALTH SERVICES,ANDREWS,INTERGOVERNMENTAL PAYMENTS,580200.65,537,DEPARTMENT OF STATE HEALTH SERVICES
2023,551-DEPARTMENT OF AGRICULTURE,ANDREWS,INTERGOVERNMENTAL PAYMENTS,146692.66,551,DEPARTMENT OF AGRICULTURE
2023,575-TEXAS DIVISION OF EMERGENCY MANAGEMENT,ANDREWS,INTERGOVERNMENTAL PAYMENTS,1751460.58,575,TEXAS DIVISION OF EMERGENCY MANAGEMENT
2023,592-STATE SOIL AND WATER CONSERVATION BOARD,ANDREWS,INTERGOVERNMENTAL PAYMENTS,32511.21,592,STATE SOIL AND WATER CONSERVATION BOARD
2023,601-TEXAS DEPARTMENT OF TRANSPORTATION,ANDREWS,INTERGOVERNMENTAL PAYMENTS,5216940.03,601,TEXAS DEPARTMENT OF TRANSPORTATION
2023,644-TEXAS JUVENILE JUSTICE DEPARTMENT,ANDREWS,INTERGOVERNMENTAL PAYMENTS,175086.24,644,TEXAS JUVENILE JUSTICE DEPARTMENT
2023,696-TEXAS DEPARTMENT OF CRIMINAL JUSTICE,ANDREWS,INTERGOVERNMENTAL PAYMENTS,212394,696,TEXAS DEPARTMENT OF CRIMINAL JUSTICE
2023,701-TEXAS EDUCATION AGENCY,ANDREWS,INTERGOVERNMENTAL PAYMENTS,8733116.69,701,TEXAS EDUCATION AGENCY
2023,902-COMPTROLLER - STATE FISCAL,ANDREWS,INTERGOVERNMENTAL PAYMENTS,3339515.56,902,COMPTROLLER - STATE FISCAL
2023,907-CPA-ST ENERGY CONS OFC (PART OF AGY 902),ANDREWS,INTERGOVERNMENTAL PAYMENTS,69553.37,907,CPA-ST ENERGY CONS OFC (PART OF AGY 902)
2023,362-TEXAS LOTTERY COMMISSION,ANDREWS,LOTTERY WINNINGS PAID,175008,362,TEXAS LOTTERY COMMISSION
2023,241-COMPTROLLER - JUDICIARY SECTION,ANDREWS,TRAVEL,3485.27,241,COMPTROLLER - JUDICIARY SECTION
2023,304-COMPTROLLER OF PUBLIC ACCOUNTS,ANDREWS,TRAVEL,3368.96,304,COMPTROLLER OF PUBLIC ACCOUNTS
2023,320-TEXAS WORKFORCE COMMISSION,ANDREWS,TRAVEL,4074.71,320,TEXAS WORKFORCE COMMISSION
2023,401-TEXAS MILITARY DEPARTMENT,ANDREWS,TRAVEL,2014.05,401,TEXAS MILITARY DEPARTMENT
2023,405-TEXAS DEPARTMENT OF PUBLIC SAFETY,ANDREWS,TRAVEL,31407.53,405,TEXAS DEPARTMENT OF PUBLIC SAFETY
2023,529-HEALTH AND HUMAN SERVICES COMMISSION,ANDREWS,TRAVEL,4278.59,529,HEALTH AND HUMAN SERVICES COMMISSION
2023,530-DEPT OF FAMILY & PROTECTIVE SERVICES,ANDREWS,TRAVEL,111816.19,530,DEPT OF FAMILY & PROTECTIVE SERVICES
2023,535-LOW-LVL RADIOACT WASTE DISP COMPACT COMM,ANDREWS,TRAVEL,714.75,535,LOW-LVL RADIOACT WASTE DISP COMPACT COMM
2023,537-DEPARTMENT OF STATE HEALTH SERVICES,ANDREWS,TRAVEL,2972.41,537,DEPARTMENT OF STATE HEALTH SERVICES
2023,555-TEXAS A&M AGRILIFE EXTENSION SERVICE,ANDREWS,TRAVEL,29.09,555,TEXAS A&M AGRILIFE EXTENSION SERVICE
2023,601-TEXAS DEPARTMENT OF TRANSPORTATION,ANDREWS,TRAVEL,12680.72,601,TEXAS DEPARTMENT OF TRANSPORTATION
2023,696-TEXAS DEPARTMENT OF CRIMINAL JUSTICE,ANDREWS,TRAVEL,673.22,696,TEXAS DEPARTMENT OF CRIMINAL JUSTICE
2023,701-TEXAS EDUCATION AGENCY,ANDREWS,TRAVEL,1529.34,701,TEXAS EDUCATION AGENCY
2023,503-TEXAS MEDICAL BOARD,ANDREWS,PROFESSIONAL SERVICE AND FEES,-525,503,TEXAS MEDICAL BOARD
2023,320-TEXAS WORKFORCE COMMISSION,ANDREWS,PAYMENT OF INTEREST - DEBT SERVICE,0.32,320,TEXAS WORKFORCE COMMISSION
2023,101-SENATE,AUSTIN,SUPPLIES AND MATERIALS,100,101,SENATE
2023,601-TEXAS DEPARTMENT OF TRANSPORTATION,ANDREWS,HIGHWAY CONSTRUCTION-CAPITAL OUTLAY,-20000,601,TEXAS DEPARTMENT OF TRANSPORTATION
2023,529-HEALTH AND HUMAN SERVICES COMMISSION,ANDREWS,COMMUNICATIONS AND UTILITIES,835.26,529,HEALTH AND HUMAN SERVICES COMMISSION
2023,601-TEXAS DEPARTMENT OF TRANSPORTATION,ANDREWS,COMMUNICATIONS AND UTILITIES,2966.46,601,TEXAS DEPARTMENT OF TRANSPORTATION
2023,529-HEALTH AND HUMAN SERVICES COMMISSION,ANDREWS,RENTALS AND LEASES,107211,529,HEALTH AND HUMAN SERVICES COMMISSION
2023,302-OFFICE OF THE ATTORNEY GENERAL,ANDREWS,CLAIMS AND JUDGMENTS,6500,302,OFFICE OF THE ATTORNEY GENERAL
2023,320-TEXAS WORKFORCE COMMISSION,ANDREWS,CLAIMS AND JUDGMENTS,526.8,320,TEXAS WORKFORCE COMMISSION
2023,101-SENATE,ANGELINA,SALARIES AND WAGES,68260,101,SENATE
2023,102-HOUSE OF REPRESENTATIVES,ANGELINA,SALARIES AND WAGES,75500.91,102,HOUSE OF REPRESENTATIVES
2023,241-COMPTROLLER - JUDICIARY SECTION,ANGELINA,SALARIES AND WAGES,468096.13,241,COMPTROLLER - JUDICIARY SECTION
2023,302-OFFICE OF THE ATTORNEY GENERAL,ANGELINA,SALARIES AND WAGES,198460.04,302,OFFICE OF THE ATTORNEY GENERAL
2023,304-COMPTROLLER OF PUBLIC ACCOUNTS,ANGELINA,SALARIES AND WAGES,111844.54,304,COMPTROLLER OF PUBLIC ACCOUNTS
2023,307-SECRETARY OF STATE,ANGELINA,SALARIES AND WAGES,85293.1,307,SECRETARY OF STATE
2023,320-TEXAS WORKFORCE COMMISSION,ANGELINA,SALARIES AND WAGES,673376.74,320,TEXAS WORKFORCE COMMISSION
2023,323-TEACHER RETIREMENT SYSTEM OF TEXAS,ANGELINA,SALARIES AND WAGES,11875,323,TEACHER RETIREMENT SYSTEM OF TEXAS
2023,327-EMPLOYEES RETIREMENT SYSTEM OF TEXAS,ANGELINA,SALARIES AND WAGES,23415,327,EMPLOYEES RETIREMENT SYSTEM OF TEXAS
2023,401-TEXAS MILITARY DEPARTMENT,ANGELINA,SALARIES AND WAGES,1131968.98,401,TEXAS MILITARY DEPARTMENT
2023,403-TEXAS VETERANS COMMISSION,ANGELINA,SALARIES AND WAGES,203865.6,403,TEXAS VETERANS COMMISSION
2023,405-TEXAS DEPARTMENT OF PUBLIC SAFETY,ANGELINA,SALARIES AND WAGES,5239842.52,405,TEXAS DEPARTMENT OF PUBLIC SAFETY
2023,448-OFFICE OF INJURED EMPLOYEE COUNSEL,ANGELINA,SALARIES AND WAGES,112736.04,448,OFFICE OF INJURED EMPLOYEE COUNSEL
2023,455-RAILROAD COMMISSION OF TEXAS,ANGELINA,SALARIES AND WAGES,154609.33,455,RAILROAD COMMISSION OF TEXAS
2023,458-TEXAS ALCOHOLIC BEVERAGE COMMISSION,ANGELINA,SALARIES AND WAGES,487340.27,458,TEXAS ALCOHOLIC BEVERAGE COMMISSION
2023,507-TEXAS BOARD OF NURSING,ANGELINA,SALARIES AND WAGES,41345.11,507,TEXAS BOARD OF NURSING
2023,529-HEALTH AND HUMAN SERVICES COMMISSION,ANGELINA,SALARIES AND WAGES,38647328.24,529,HEALTH AND HUMAN SERVICES COMMISSION
2023,530-DEPT OF FAMILY & PROTECTIVE SERVICES,ANGELINA,SALARIES AND WAGES,4110585.32,530,DEPT OF FAMILY & PROTECTIVE SERVICES
2023,537-DEPARTMENT OF STATE HEALTH SERVICES,ANGELINA,SALARIES AND WAGES,361986.57,537,DEPARTMENT OF STATE HEALTH SERVICES
2023,551-DEPARTMENT OF AGRICULTURE,ANGELINA,SALARIES AND WAGES,46810,551,DEPARTMENT OF AGRICULTURE
2023,555-TEXAS A&M AGRILIFE EXTENSION SERVICE,ANGELINA,SALARIES AND WAGES,123658.95,555,TEXAS A&M AGRILIFE EXTENSION SERVICE
2023,575-TEXAS DIVISION OF EMERGENCY MANAGEMENT,ANGELINA,SALARIES AND WAGES,59005,575,TEXAS DIVISION OF EMERGENCY MANAGEMENT
2023,576-TEXAS A&M FOREST SERVICE,ANGELINA,SALARIES AND WAGES,604445.5,576,TEXAS A&M FOREST SERVICE
2023,582-TX COMMISSION ON ENVIRONMENTAL QUALITY,ANGELINA,SALARIES AND WAGES,6002.65,582,TX COMMISSION ON ENVIRONMENTAL QUALITY
2023,592-STATE SOIL AND WATER CONSERVATION BOARD,ANGELINA,SALARIES AND WAGES,24490.11,592,STATE SOIL AND WATER CONSERVATION BOARD
2023,601-TEXAS DEPARTMENT OF TRANSPORTATION,ANGELINA,SALARIES AND WAGES,7237598.07,601,TEXAS DEPARTMENT OF TRANSPORTATION
2023,608-TEXAS DEPARTMENT OF MOTOR VEHICLES,ANGELINA,SALARIES AND WAGES,66380,608,TEXAS DEPARTMENT OF MOTOR VEHICLES
2023,644-TEXAS JUVENILE JUSTICE DEPARTMENT,ANGELINA,SALARIES AND WAGES,42634.93,644,TEXAS JUVENILE JUSTICE DEPARTMENT
2023,696-TEXAS DEPARTMENT OF CRIMINAL JUSTICE,ANGELINA,SALARIES AND WAGES,11568892.81,696,TEXAS DEPARTMENT OF CRIMINAL JUSTICE
2023,701-TEXAS EDUCATION AGENCY,ANGELINA,SALARIES AND WAGES,72811.66,701,TEXAS EDUCATION AGENCY
2023,711-TEXAS A&M UNIVERSITY,ANGELINA,SALARIES AND WAGES,2632.5,711,TEXAS A&M UNIVERSITY
2023,715-PRAIRIE VIEW A&M UNIVERSITY,ANGELINA,SALARIES AND WAGES,2599.97,715,PRAIRIE VIEW A&M UNIVERSITY
2023,721-UNIVERSITY OF TEXAS AT AUSTIN,ANGELINA,SALARIES AND WAGES,45000,721,UNIVERSITY OF TEXAS AT AUSTIN
2023,723-UT MEDICAL BRANCH AT GALVESTON,ANGELINA,SALARIES AND WAGES,31244.43,723,UT MEDICAL BRANCH AT GALVESTON
2023,734-LAMAR UNIVERSITY,ANGELINA,SALARIES AND WAGES,103417.64,734,LAMAR UNIVERSITY
2023,743-UNIVERSITY OF TEXAS AT SAN ANTONIO,ANGELINA,SALARIES AND WAGES,67816.64,743,UNIVERSITY OF TEXAS AT SAN ANTONIO
2023,746-UNIVERSITY OF TEXAS RIO GRANDE VALLEY,ANGELINA,SALARIES AND WAGES,123526.99,746,UNIVERSITY OF TEXAS RIO GRANDE VALLEY
2023,750-UNIVERSITY OF TEXAS AT TYLER,ANGELINA,SALARIES AND WAGES,5244.2,750,UNIVERSITY OF TEXAS AT TYLER
2023,753-SAM HOUSTON STATE UNIVERSITY,ANGELINA,SALARIES AND WAGES,47426.58,753,SAM HOUSTON STATE UNIVERSITY
2023,754-TEXAS STATE UNIVERSITY,ANGELINA,SALARIES AND WAGES,4076.22,754,TEXAS STATE UNIVERSITY
2023,755-STEPHEN F AUSTIN STATE UNIVERSITY,ANGELINA,SALARIES AND WAGES,1775877.61,755,STEPHEN F AUSTIN STATE UNIVERSITY
2023,789-LAMAR INSTITUTE OF TECHNOLOGY,ANGELINA,SALARIES AND WAGES,2736,789,LAMAR INSTITUTE OF TECHNOLOGY
2023,802-PARKS & WILDLIFE DEPARTMENT,ANGELINA,SALARIES AND WAGES,1414328.65,802,PARKS & WILDLIFE DEPARTMENT
2023,101-SENATE,ANGELINA,EMPLOYEE BENEFITS,18626.94,101,SENATE
2023,102-HOUSE OF REPRESENTATIVES,ANGELINA,EMPLOYEE BENEFITS,24140.87,102,HOUSE OF REPRESENTATIVES
2023,241-COMPTROLLER - JUDICIARY SECTION,ANGELINA,EMPLOYEE BENEFITS,121999.6,241,COMPTROLLER - JUDICIARY SECTION
2023,302-OFFICE OF THE ATTORNEY GENERAL,ANGELINA,EMPLOYEE BENEFITS,58101.83,302,OFFICE OF THE ATTORNEY GENERAL
2023,304-COMPTROLLER OF PUBLIC ACCOUNTS,ANGELINA,EMPLOYEE BENEFITS,31555.2,304,COMPTROLLER OF PUBLIC ACCOUNTS
2023,307-SECRETARY OF STATE,ANGELINA,EMPLOYEE BENEFITS,24063.72,307,SECRETARY OF STATE
2023,320-TEXAS WORKFORCE COMMISSION,ANGELINA,EMPLOYEE BENEFITS,209885.27,320,TEXAS WORKFORCE COMMISSION
2023,323-TEACHER RETIREMENT SYSTEM OF TEXAS,ANGELINA,EMPLOYEE BENEFITS,2044.79,323,TEACHER RETIREMENT SYSTEM OF TEXAS
2023,327-EMPLOYEES RETIREMENT SYSTEM OF TEXAS,ANGELINA,EMPLOYEE BENEFITS,1758535.77,327,EMPLOYEES RETIREMENT SYSTEM OF TEXAS
2023,401-TEXAS MILITARY DEPARTMENT,ANGELINA,EMPLOYEE BENEFITS,74664.47,401,TEXAS MILITARY DEPARTMENT
2023,403-TEXAS VETERANS COMMISSION,ANGELINA,EMPLOYEE BENEFITS,55193.65,403,TEXAS VETERANS COMMISSION
2023,405-TEXAS DEPARTMENT OF PUBLIC SAFETY,ANGELINA,EMPLOYEE BENEFITS,1314635.84,405,TEXAS DEPARTMENT OF PUBLIC SAFETY
2023,448-OFFICE OF INJURED EMPLOYEE COUNSEL,ANGELINA,EMPLOYEE BENEFITS,36477.66,448,OFFICE OF INJURED EMPLOYEE COUNSEL
2023,455-RAILROAD COMMISSION OF TEXAS,ANGELINA,EMPLOYEE BENEFITS,44902.76,455,RAILROAD COMMISSION OF TEXAS
2023,101-SENATE,ANGELINA,RENTALS AND LEASES,6800,101,SENATE
2023,458-TEXAS ALCOHOLIC BEVERAGE COMMISSION,ANGELINA,EMPLOYEE BENEFITS,143192.74,458,TEXAS ALCOHOLIC BEVERAGE COMMISSION
2023,479-STATE OFFICE OF RISK MANAGEMENT,ANGELINA,EMPLOYEE BENEFITS,323856.82,479,STATE OFFICE OF RISK MANAGEMENT
2023,507-TEXAS BOARD OF NURSING,ANGELINA,EMPLOYEE BENEFITS,12225.1,507,TEXAS BOARD OF NURSING
2023,529-HEALTH AND HUMAN SERVICES COMMISSION,ANGELINA,EMPLOYEE BENEFITS,11455681.42,529,HEALTH AND HUMAN SERVICES COMMISSION
2023,530-DEPT OF FAMILY & PROTECTIVE SERVICES,ANGELINA,EMPLOYEE BENEFITS,1198559.12,530,DEPT OF FAMILY & PROTECTIVE SERVICES
2023,537-DEPARTMENT OF STATE HEALTH SERVICES,ANGELINA,EMPLOYEE BENEFITS,108168.14,537,DEPARTMENT OF STATE HEALTH SERVICES
2023,551-DEPARTMENT OF AGRICULTURE,ANGELINA,EMPLOYEE BENEFITS,13941.31,551,DEPARTMENT OF AGRICULTURE
2023,555-TEXAS A&M AGRILIFE EXTENSION SERVICE,ANGELINA,EMPLOYEE BENEFITS,40706.8,555,TEXAS A&M AGRILIFE EXTENSION SERVICE
2023,575-TEXAS DIVISION OF EMERGENCY MANAGEMENT,ANGELINA,EMPLOYEE BENEFITS,8187.14,575,TEXAS DIVISION OF EMERGENCY MANAGEMENT
2023,576-TEXAS A&M FOREST SERVICE,ANGELINA,EMPLOYEE BENEFITS,153651.08,576,TEXAS A&M FOREST SERVICE
2023,582-TX COMMISSION ON ENVIRONMENTAL QUALITY,ANGELINA,EMPLOYEE BENEFITS,1730.85,582,TX COMMISSION ON ENVIRONMENTAL QUALITY
2023,592-STATE SOIL AND WATER CONSERVATION BOARD,ANGELINA,EMPLOYEE BENEFITS,7609.59,592,STATE SOIL AND WATER CONSERVATION BOARD
2023,601-TEXAS DEPARTMENT OF TRANSPORTATION,ANGELINA,EMPLOYEE BENEFITS,2198517.76,601,TEXAS DEPARTMENT OF TRANSPORTATION
2023,608-TEXAS DEPARTMENT OF MOTOR VEHICLES,ANGELINA,EMPLOYEE BENEFITS,20033.17,608,TEXAS DEPARTMENT OF MOTOR VEHICLES
2023,644-TEXAS JUVENILE JUSTICE DEPARTMENT,ANGELINA,EMPLOYEE BENEFITS,12122.35,644,TEXAS JUVENILE JUSTICE DEPARTMENT
2023,696-TEXAS DEPARTMENT OF CRIMINAL JUSTICE,ANGELINA,EMPLOYEE BENEFITS,3378174.67,696,TEXAS DEPARTMENT OF CRIMINAL JUSTICE
2023,701-TEXAS EDUCATION AGENCY,ANGELINA,EMPLOYEE BENEFITS,19054.48,701,TEXAS EDUCATION AGENCY
2023,711-TEXAS A&M UNIVERSITY,ANGELINA,EMPLOYEE BENEFITS,491.17,711,TEXAS A&M UNIVERSITY
2023,715-PRAIRIE VIEW A&M UNIVERSITY,ANGELINA,EMPLOYEE BENEFITS,503.24,715,PRAIRIE VIEW A&M UNIVERSITY
2023,721-UNIVERSITY OF TEXAS AT AUSTIN,ANGELINA,EMPLOYEE BENEFITS,5709.5,721,UNIVERSITY OF TEXAS AT AUSTIN
2023,723-UT MEDICAL BRANCH AT GALVESTON,ANGELINA,EMPLOYEE BENEFITS,7848.08,723,UT MEDICAL BRANCH AT GALVESTON
2023,734-LAMAR UNIVERSITY,ANGELINA,EMPLOYEE BENEFITS,12136.45,734,LAMAR UNIVERSITY
2023,743-UNIVERSITY OF TEXAS AT SAN ANTONIO,ANGELINA,EMPLOYEE BENEFITS,15655.63,743,UNIVERSITY OF TEXAS AT SAN ANTONIO
2023,746-UNIVERSITY OF TEXAS RIO GRANDE VALLEY,ANGELINA,EMPLOYEE BENEFITS,26333.45,746,UNIVERSITY OF TEXAS RIO GRANDE VALLEY
2023,750-UNIVERSITY OF TEXAS AT TYLER,ANGELINA,EMPLOYEE BENEFITS,1419.47,750,UNIVERSITY OF TEXAS AT TYLER
2023,753-SAM HOUSTON STATE UNIVERSITY,ANGELINA,EMPLOYEE BENEFITS,5575.24,753,SAM HOUSTON STATE UNIVERSITY
2023,754-TEXAS STATE UNIVERSITY,ANGELINA,EMPLOYEE BENEFITS,365.79,754,TEXAS STATE UNIVERSITY
2023,755-STEPHEN F AUSTIN STATE UNIVERSITY,ANGELINA,EMPLOYEE BENEFITS,269204.57,755,STEPHEN F AUSTIN STATE UNIVERSITY
2023,789-LAMAR INSTITUTE OF TECHNOLOGY,ANGELINA,EMPLOYEE BENEFITS,284.09,789,LAMAR INSTITUTE OF TECHNOLOGY
2023,802-PARKS & WILDLIFE DEPARTMENT,ANGELINA,EMPLOYEE BENEFITS,425428.6,802,PARKS & WILDLIFE DEPARTMENT
2023,902-COMPTROLLER - STATE FISCAL,ANGELINA,EMPLOYEE BENEFITS,112864.18,902,COMPTROLLER - STATE FISCAL
2023,101-SENATE,ANGELINA,SUPPLIES AND MATERIALS,234,101,SENATE
